Year,State,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans
2019,SD,995.0,761,234,725,504,221,270,257,13,76,72,4,100,58,42,81,39,42,19,19,0,66,55,11
2019,TN,7467.0,4869,2598,5637,3519,2118,1830,1350,480,558,391,167,1133,569,564,1020,501,519,113,68,45,679,539,140
2019,TX,25848.0,14626,11222,19611,8663,10948,6237,5963,274,1919,1844,75,3511,1629,1882,3338,1476,1862,173,153,20,1806,1225,581
2019,UT,2798.0,2390,408,1921,1516,405,877,874,3,260,259,1,512,364,148,493,345,148,19,19,0,211,184,27
2019,VA,5783.0,4924,859,3666,2838,828,2117,2086,31,652,643,9,881,644,237,817,580,237,64,64,0,447,355,92
2019,VI,314.0,82,232,314,82,232,0,0,0,0,0,0,105,0,105,105,0,105,0,0,0,13,0,13
2019,VT,1089.0,975,114,681,569,112,408,406,2,128,127,1,190,157,33,163,132,31,27,25,2,87,78,9
2019,WA,21577.0,12020,9557,15985,7095,8890,5592,4925,667,1751,1550,201,4884,2073,2811,4446,1797,2649,438,276,162,1585,818,767
2019,WI,4538.0,4243,295,2545,2263,282,1993,1980,13,592,589,3,533,439,94,426,332,94,107,107,0,359,334,25
2019,WV,1397.0,1149,248,1149,919,230,248,230,18,79,74,5,161,103,58,152,100,52,9,3,6,137,113,24
2019,WY,548.0,423,125,437,329,108,111,94,17,37,31,6,67,23,44,64,23,41,3,0,3,51,43,8
2019,Total,567715.0,356422,211293,396045,199531,196514,171670,156891,14779,53692,49344,4348,105583,42607,62976,96141,35200,60941,9442,7407,2035,37085,22740,14345
2018,AK,2016.0,1707,309,1434,1173,261,582,534,48,193,175,18,357,275,82,323,243,80,34,32,2,132,110,22
2018,AL,3434.0,2424,1010,2570,1693,877,864,731,133,280,243,37,540,341,199,472,277,195,68,64,4,339,267,72
2018,AR,2712.0,1455,1257,2280,1081,1199,432,374,58,147,127,20,466,153,313,453,153,300,13,0,13,251,150,101
2018,AZ,9865.0,5799,4066,7259,3354,3905,2606,2445,161,792,745,47,1774,589,1185,1740,564,1176,34,25,9,893,540,353
2018,CA,129972.0,40429,89543,109008,23635,85373,20964,16794,4170,6702,5372,1330,34332,5650,28682,32668,4857,27811,1664,793,871,10836,3622,7214
2018,CO,10857.0,6528,4329,7607,4302,3305,3250,2226,1024,990,689,301,2738,1160,1578,2571,1099,1472,167,61,106,1073,657,416
2018,CT,3976.0,3395,581,2280,1699,581,1696,1696,0,553,553,0,341,238,103,298,195,103,43,43,0,190,177,13
2018,DC,6904.0,6304,600,3770,3170,600,3134,3134,0,924,924,0,1781,1481,300,1586,1286,300,195,195,0,306,246,60
2018,DE,1082.0,989,93,708,615,93,374,374,0,125,125,0,189,170,19,162,143,19,27,27,0,70,67,3
