RegionName,StateName,SizeRank,RegionID,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020
United States,Country,0,102001,190722,191467,192335,193235,194147,194958,195762,196619,197508,198376,199162,200029,200974,201943,202802,203695,204603,205589,206595,207614,208639,209674,210781,211863,212927,213967,215085,216251,217412,218575,219690,220823,221997,223230,224495,225747,226951,228197,229454,230737,232039,233298,234470,235471,236343,237131,237923,238736,239581,240340,241011,241689,242583,243602,244535,245213,245758,246285,246873,247568,248440,249439,250595,251849,253057,254320,255845,257804,260091,262604
"New York, NY",NY,1,394913,408905,410065,410802,411779,412581,413688,414619,415493,416407,417359,418819,419962,420736,421362,422204,423520,424585,425627,426734,428045,429411,430881,432314,433948,435903,437564,439374,440655,442890,445151,447912,450356,452608,454555,456262,457931,459983,462450,465030,467602,469713,471615,472780,473915,475143,476661,478155,479256,479821,480150,480588,481211,482096,483035,483894,484236,483753,482947,482289,482471,483191,484139,485177,486507,488000,489895,492468,495908,500412,505569
"Los Angeles-Long Beach-Anaheim, CA",CA,2,753899,526530,530547,534737,537106,539643,542210,544914,548032,551280,555165,557811,562379,564874,568181,569994,574108,577661,580842,583576,587151,591039,594809,597606,599360,602978,605665,609333,611609,615341,619094,622610,625529,628435,631379,636362,641369,645551,649631,653670,658051,661481,665083,667148,667559,666708,667134,667575,666909,665738,662957,660474,659849,663434,667996,670101,670395,671524,673524,674835,676910,680279,685435,690691,695044,696786,698190,702883,710534,718779,726379
"Chicago, IL",IL,3,394463,206017,206142,206800,207924,208932,209143,209346,209612,209998,210291,210682,211312,212068,213319,214310,215104,215692,216536,217658,218687,219517,220322,221347,222483,223786,224860,226202,227365,228420,229113,229637,230366,231260,232409,233475,234666,235838,236694,237156,237691,238478,239568,240298,240931,241461,241879,242264,242471,242536,242815,243175,243859,244563,245177,245575,245673,245327,244941,244525,244507,244738,245092,245678,246204,246794,247545,248846,250588,252917,255532
"Dallas-Fort Worth, TX",TX,4,394514,177328,178799,180484,182120,183830,185516,187293,188837,190298,191663,193190,194883,196462,198051,199586,201311,203179,204956,206934,208632,210385,212032,213870,215755,217422,219161,220663,222383,223992,225663,227108,228608,230344,232219,233942,235395,236803,238478,240323,242059,243523,244954,246190,247349,248117,249013,249936,251232,252499,253336,253785,254156,254860,255439,256053,256584,257429,257640,257833,257740,258147,258784,259781,260955,262153,263579,265256,267187,269202,271831
"Philadelphia, PA",PA,5,394974,214903,215102,215486,216077,216419,216493,216605,216988,217360,217496,217536,217502,217625,217900,218159,218576,219048,219893,220596,221295,221875,222610,223340,224257,225259,226065,226636,227110,227811,228510,229144,229846,230630,231680,232638,233584,234341,235415,236825,238241,239339,240112,240852,241443,242163,242712,243522,244158,244981,245618,246601,247290,248234,248883,249720,250267,250657,250896,251162,251620,252346,253257,253988,255191,256536,258494,260592,263245,266235,269695
"Houston, TX",TX,6,394692,181108,182352,183775,185218,186591,187660,188404,189045,189694,190640,191367,192010,192858,193686,194219,194456,195012,195676,196503,196997,197448,197748,198541,199453,199961,200512,201159,201943,202401,202837,203261,203650,204072,204567,205145,205712,206306,206779,207357,208382,209499,210431,211118,212070,212986,213731,214210,214790,215887,216825,217366,217343,217637,218320,219142,219675,219734,220003,220331,220950,221157,221584,222316,223317,224164,224876,225676,226667,228130,229613
"Washington, DC",DC,7,395209,378215,378695,379453,379899,380143,380423,380905,381194,381310,381827,382253,382996,383587,383349,383317,384078,385925,387291,388309,389084,390315,391272,392351,393711,395645,397990,399329,400124,400055,400774,401714,403345,404692,406200,407708,408567,409222,409760,411210,412859,414963,416709,418147,418723,419006,419329,419632,420817,422368,424211,425577,426483,427571,428564,429054,429741,430580,431988,433324,434503,435581,436644,438080,440133,442240,444715,447972,451650,455719,459656
"Miami-Fort Lauderdale, FL",FL,8,394856,223142,224872,226193,227788,229038,230508,231577,232914,234551,236073,237950,239523,241398,242946,244503,246106,247739,249750,251759,253492,254829,256136,257691,259338,260880,262251,263374,264804,266174,267485,268659,270357,272077,273949,274841,276009,276759,278340,280158,281722,283467,284757,286384,287402,288257,288697,290201,291607,293008,292736,292877,293177,293688,294528,295287,295784,295891,296351,296934,297445,298110,299741,301051,302382,303555,304793,306059,307858,310191,312574
"Atlanta, GA",GA,9,394347,170728,171496,172166,172961,174002,175232,176189,177174,178136,179053,179925,180664,181729,182780,184195,185562,186747,187568,188278,189100,189803,190859,192005,193491,194570,195778,196883,198087,199337,200826,202449,203851,205482,206941,208587,210216,212144,213987,215471,216885,218411,220143,221839,223443,224957,226474,227844,228930,229809,230598,231787,233058,234432,235300,236111,236916,237684,238265,238857,239662,240738,241954,243136,244361,245541,247073,248752,250654,252721,255109
"Boston, MA",MA,10,394404,394199,397070,398870,399260,399986,401081,403545,405905,407828,410030,411551,412848,414406,416226,418360,420626,423219,425479,426479,427732,429942,432185,434822,436938,438642,439971,441593,444261,446655,449245,452330,454548,456820,458566,461467,463693,465919,468391,471641,474476,477096,479385,481198,482494,482690,483554,483938,484902,485449,486061,485480,485365,485842,487919,489091,489695,490345,490862,491665,492418,494167,496039,498675,501288,503975,505949,509201,513770,519286,525223
"San Francisco, CA",CA,11,395057,779321,785545,796007,806602,816232,825546,836922,849400,861892,871173,876277,881395,891335,900142,902919,904631,907082,911053,909194,907602,905686,910300,914930,921386,924424,928713,933798,938445,943920,950167,960176,968514,979881,989564,1003945,1017975,1031122,1039743,1050052,1063191,1078178,1090120,1098076,1104790,1106688,1106169,1100633,1090024,1079833,1074182,1069583,1069470,1073948,1079264,1081263,1075836,1074600,1073445,1074825,1079397,1086411,1092251,1097133,1097974,1094919,1093202,1096055,1106275,1115632,1126793
"Detroit, MI",MI,12,394532,131434,132147,133063,133721,134189,134504,134970,135614,136121,136684,137279,138241,139093,139946,140455,141591,142705,143971,145051,146024,147225,148439,149527,150369,151196,152170,153397,154411,155680,156812,157806,158830,159809,160855,161942,162958,164333,165653,167090,168449,169757,171184,172365,173313,174178,174944,175754,176605,177202,177712,177612,177764,178723,180322,181735,182197,182293,182324,182517,182768,183373,184100,185311,186546,187265,187604,188407,190248,192610,195270
"Riverside, CA",CA,13,395025,291739,292916,294173,296034,297126,298627,299820,301688,303742,305257,306867,308717,310680,312225,313843,315293,317214,318433,320668,322506,324055,325315,326788,328595,330320,331816,333701,335987,338004,340756,342102,344379,346275,349076,351459,353673,355912,358805,361208,363335,365791,367836,369772,370330,371416,371388,372129,371992,373545,374247,375564,376163,377324,378523,379584,380067,380011,381122,382042,384059,384847,386243,387602,389885,391911,394279,397397,401804,406840,411728
"Phoenix, AZ",AZ,14,394976,202761,203068,204791,207095,209178,210233,211980,213561,215481,216482,217275,218059,219906,221282,222162,223036,224097,225388,225763,226742,227804,229599,231315,232593,233431,234516,235861,237174,238313,239756,241695,242935,244269,245550,247093,248375,249953,251993,253852,255484,257176,258891,260436,261666,262976,263970,264872,265906,267155,268327,269338,269751,270927,272608,274633,276390,277644,279165,280844,282967,285093,287180,289695,293100,296172,299037,301949,305727,310220,315045
"Seattle, WA",WA,15,395078,336072,338405,341047,343052,346444,348791,351603,355351,359554,363391,366739,369729,372363,375812,379801,384185,387893,391583,395574,399023,402542,405616,410014,414617,419199,423344,427044,431749,436627,442333,448197,453415,457733,462698,466727,471550,476337,482829,488968,494172,498231,500778,501244,501024,502263,503210,503287,501319,499721,497514,495738,494271,495854,498192,501095,502592,503633,504509,506681,510202,514268,518383,522904,527952,531714,536024,541528,549378,557819,567205
"Minneapolis-St Paul, MN",MN,16,394865,223768,225003,226004,227355,228126,228846,229668,230490,231635,232620,233774,234878,236319,237510,238481,239099,239603,240521,241770,243554,245053,246664,247991,249191,250056,250920,252215,253924,255984,257817,259352,260332,261357,262255,263606,265134,267032,268924,270831,272452,273924,275081,276211,277525,278701,279814,280666,281530,282547,283385,283875,284400,285389,286936,288304,289051,289830,290530,291489,292423,293366,294551,296035,297710,299174,300555,302306,304728,307382,310357
"San Diego, CA",CA,17,395056,461553,461169,466370,470925,475442,476016,477285,479621,482477,485783,488300,492644,499572,502013,501148,501113,502767,506507,507490,511339,514657,518949,521595,523906,523511,526352,530938,537055,542799,546535,549924,551146,554066,557415,560455,563974,570183,576154,579615,579114,578484,579937,582416,584983,585393,585624,585553,584942,581873,579642,578420,581460,584326,588612,592010,593848,593785,593269,594771,597438,601677,605164,609395,612525,616556,619454,623413,629694,638998,649474
"St. Louis, MO",MO,18,395121,146301,146619,146997,147587,147959,148330,148649,149139,149614,150004,150322,150906,151587,152285,152774,153188,153731,154365,155072,155542,156104,156847,157843,158555,159182,159767,160475,161179,161665,162231,162756,163564,164435,165128,165628,165971,166422,166733,167397,168074,168980,169542,170185,170786,171268,171869,172475,173188,174030,174955,175839,176338,176967,177457,177793,177787,177895,178170,178531,179065,179492,180027,180508,181403,182247,183479,184933,186772,188734,190720
"Tampa, FL",FL,19,395148,152008,152993,153716,154653,155338,156531,157607,158862,160105,161410,162539,163838,165471,167385,169155,170472,171886,173007,174408,175759,177263,178389,179939,181450,182971,183799,184713,186211,187966,189834,191383,193037,194351,195713,196947,198065,199094,200711,202715,204476,205721,206889,207928,208956,210084,211296,212346,213589,214769,215351,215514,215784,216716,217555,218656,219165,219722,220214,221115,221960,222971,224372,225983,227638,229103,230804,232577,234973,237537,240308
"Baltimore, MD",MD,20,394358,266843,266838,267141,266792,266870,266786,267061,267245,267761,268199,268008,268128,268463,269498,269964,270692,271557,272315,273395,274098,275247,276001,277216,278155,279031,279369,279825,280768,281417,282237,282156,282434,282629,283495,284515,285658,286538,287361,288406,289290,290127,290789,291621,292308,292763,292877,292971,292758,292891,293394,293793,294272,294828,295485,295945,295876,295672,295396,295237,295509,295962,296427,297084,297908,299013,300355,302216,304783,307897,311464
"Denver, CO",CO,21,394530,304796,308442,312144,315565,318948,322501,325734,329547,333360,337294,340751,343996,346546,349244,352064,355176,358058,360582,363557,366450,368983,371265,373826,376583,379657,382783,386103,388829,391239,393529,395373,397034,399064,401591,403975,406733,409158,411512,413528,416138,419299,422316,425114,427383,429552,431254,433122,433652,433834,434417,435296,436305,436590,437535,438423,439261,439667,439972,440263,441317,443269,445039,446884,448666,451041,453276,456030,459441,463498,468128
"Pittsburgh, PA",PA,22,394982,133175,133199,133260,133632,134420,135091,135618,135981,136477,137007,137421,137717,138526,139501,140229,140460,140454,140789,141036,141453,141583,141909,142221,142854,142856,143071,143184,143913,144476,144985,145574,146217,147031,147627,148223,148684,149363,149700,150782,151852,153071,153678,154185,154642,155097,155517,155850,156200,156918,157938,158437,158669,159586,160803,161687,161796,161741,162030,162543,163300,163802,164290,164970,165903,166419,167163,168351,170317,172557,174771
"Portland, OR",OR,23,394998,295533,297840,300362,302195,304519,307197,310164,313656,317007,320801,324351,327790,331068,333620,336786,340424,344561,348363,352370,355424,358695,361241,363596,366188,368903,372048,374320,376943,378915,380363,381300,382815,384573,386270,388232,390237,391920,394287,397004,399001,400417,401890,403825,404924,405065,404964,405390,406476,407549,408056,407588,407973,408549,409471,409948,410466,410849,411838,412640,413711,414703,415924,418133,420225,422860,425607,428877,432768,437567,442464
"Charlotte, NC",NC,24,394458,169315,170229,171357,172501,173299,174019,175028,176461,177663,178587,179317,179769,180362,181050,181779,182784,184087,185706,187153,188161,189353,190609,192189,193878,195469,196734,198116,199393,200676,201722,202625,203974,205342,207193,208702,210311,211800,213507,215046,216467,217942,219516,221358,222876,224279,224944,225960,226953,228537,229490,230583,231537,232666,233632,234447,235305,236212,237529,238883,240166,241132,242631,244170,245991,247735,249704,251804,254078,256496,259012
"Sacramento, CA",CA,25,395045,311272,312761,315337,317937,319666,321026,322451,324067,325993,328306,330256,333638,336236,338204,339821,341795,344695,346834,349451,352200,355050,357300,359767,361662,364566,367373,370330,372218,374422,377862,381034,383345,385282,387690,390204,392770,394676,397571,399946,402261,404152,406174,408154,409363,409425,409227,408913,409280,409729,409467,409212,410576,413835,417186,418959,419876,420914,421627,422553,423339,425239,427505,430426,432836,434395,436078,439596,444904,451368,458805
"San Antonio, TX",TX,26,395055,165375,166374,167291,168317,168822,169678,170776,172262,173362,174422,175001,175859,176659,177118,177801,178886,180367,181397,181891,182284,182967,183534,184521,185672,187511,189239,190338,190798,191121,191818,192791,193862,194906,196016,197080,197583,197630,197759,198775,200007,201324,202331,203306,204109,204360,204874,205138,206459,207446,208930,209522,210533,211329,212270,212921,213459,214205,214521,214913,214861,215376,215551,216191,216633,217318,218080,219133,220445,221979,223830
"Orlando, FL",FL,27,394943,179815,180554,181133,181919,182838,183883,185033,186363,187944,189323,190490,192158,193887,195653,197178,198291,199475,200662,201956,203351,204525,206043,207258,208153,209553,211185,212896,214634,216287,218232,219708,221030,222507,223732,225581,227500,228538,229301,230420,232602,234712,236480,238369,240306,242042,243668,244604,245581,246725,248054,248873,248818,249060,249848,250922,251654,252441,253005,253993,254595,255823,256996,258386,259960,261418,262633,263745,265222,266827,268806
"Cincinnati, OH",OH,28,394466,144008,144609,145265,145795,146304,146729,147110,147752,148474,149047,149476,149783,150338,150749,151198,151442,151960,152680,153632,154516,155246,156151,157238,158517,159527,160596,161633,162731,163470,164070,164611,165407,166335,167266,167968,168568,168883,169314,169975,171279,173063,174646,175878,176582,177091,177645,178406,179327,180639,182068,183202,183732,183777,184088,184829,185673,186752,187354,188048,188654,189435,190152,191108,192340,193921,195570,197218,199170,201191,203768
"Cleveland, OH",OH,29,394475,121452,122420,123063,123592,123897,124326,124665,124933,125148,125392,125732,126085,126463,126720,127015,127289,127639,128080,128731,129504,130283,130939,131694,132535,133252,133624,134208,135220,136402,137198,137606,138142,138875,139796,140422,140817,141243,142504,143646,144591,144741,145245,145823,146317,146874,147411,148350,149108,149840,150129,150658,150998,152047,152794,153782,154190,154463,154705,154988,155569,156298,157126,157896,158957,159962,161251,162547,164485,166639,168994
"Kansas City, MO",MO,30,394735,150865,151221,151886,152624,153345,154080,154806,155448,156096,156909,157575,158244,158646,159455,160332,161326,162324,163359,164460,165660,166686,167722,168668,169694,170835,172004,173211,174327,175355,176236,177238,178130,179398,180692,182286,183732,185342,186725,187943,189173,190479,191794,192768,193797,194751,195542,196317,197329,198236,198992,199403,199974,200572,201360,202146,202694,203211,203727,204271,204704,205285,206169,207505,208853,210285,211727,213457,215529,217771,220301
"Las Vegas, NV",NV,31,394775,195806,197068,197709,198773,200408,201484,201616,202278,203702,204965,205505,206673,208477,210348,211198,212569,213608,215072,216457,217760,218961,219101,219981,219052,219544,220003,223399,226008,228787,231493,234867,237678,240982,245219,249823,254314,257230,260556,262324,264537,267026,270998,274821,278484,280661,282098,282352,283678,284842,286039,285843,286119,287143,288227,288180,286898,285376,285378,286308,287058,288083,288881,290924,292653,293751,294191,295561,298300,302079,305073
"Columbus, OH",OH,32,394492,151889,152984,154003,154774,155451,156060,156967,157767,158665,159451,160183,160810,161441,161934,162603,163543,164303,164923,165394,166283,167144,167884,168467,169126,170431,172282,173825,174878,175651,176854,178063,179376,180733,182321,184065,185707,186245,186142,186615,188132,190290,192016,193692,194928,195821,196740,197749,198705,199810,201089,202474,203437,204440,205410,206313,206944,207799,208660,209523,210523,211890,213392,214642,215870,216884,218156,219616,221600,223694,225835
"Indianapolis, IN",IN,33,394705,141433,141363,141298,141585,141894,142146,142122,142103,142374,142777,143466,144195,145135,145786,145973,145965,146232,147136,148476,149804,151007,151808,152192,152375,152657,153460,154626,155968,157221,158130,158718,159396,160002,161114,162134,163119,163759,164551,165904,167515,168844,170127,171370,172572,173349,173937,174887,176350,177922,178750,179159,179350,180186,180882,181491,181969,182926,183985,184925,185500,186275,187517,188812,190209,191361,192811,194519,196453,198381,200366
"San Jose, CA",CA,34,395059,851542,852508,862587,869190,875641,873432,874209,878024,884837,890472,894374,898866,904800,907097,908969,915757,917193,922862,921080,926252,924327,928457,931063,937493,942545,950231,953746,959035,965297,976197,987962,1004638,1027703,1051546,1074591,1097507,1121131,1145019,1167228,1182883,1204215,1221532,1239591,1233796,1220837,1204408,1192396,1175233,1151808,1130295,1113037,1109530,1106650,1101960,1092499,1085105,1087890,1090015,1095873,1102143,1114907,1127049,1139606,1145712,1150312,1158558,1171933,1194931,1213756,1236298
"Austin, TX",TX,35,394355,259944,261355,262729,264252,266055,267891,270038,272152,274193,275879,277143,278898,281059,283314,285184,286487,287627,288802,290396,291625,293007,294503,296525,297952,298694,299562,300832,302522,304069,305322,305917,306469,307116,308335,309959,311490,312624,313050,313635,314263,315291,316850,318404,320332,321154,322529,322839,323840,324938,327190,328591,329551,330270,331710,333207,334396,335656,335663,335945,336187,337572,338624,340506,343037,346006,348642,351817,355554,360321,366297
"Virginia Beach, VA",VA,36,395194,220344,220673,221092,221623,221854,221982,222153,222431,222780,222970,222951,222925,223190,223145,223012,222971,223272,223594,224018,224481,224913,225326,225861,226349,226889,227521,228343,229067,229628,230181,230460,230640,230892,231315,231880,232489,232889,233190,233416,233916,234588,235247,236053,236791,237335,237773,238358,239055,239606,240291,240990,241690,242036,242517,243213,243896,244613,245101,245566,246020,246887,247789,248803,249836,251222,252652,254044,255659,257503,259731
"Nashville, TN",TN,37,394902,191671,192707,193713,194969,196583,198106,199581,200942,202665,204328,206269,207815,209663,211656,213789,215667,217155,218635,220503,222438,224339,226382,228264,230483,232282,233990,235772,237987,240372,242685,244702,246782,248809,250548,252466,254441,256656,258748,260397,261810,262842,264021,265253,266722,268031,269253,270120,270836,271518,272248,272994,273630,274340,275241,276265,277135,277893,278682,279754,280911,282122,283400,284904,286574,288415,290119,291836,293629,295714,297996
"Providence, RI",RI,38,395005,253483,254061,254819,254720,255258,255695,256856,257877,258371,259176,260218,261663,262689,264115,264504,265394,265772,266885,267896,269418,271712,273464,274718,275072,276139,277353,278922,281136,283685,286498,288315,289322,289867,291102,293330,296061,298149,299844,301625,302891,304066,304824,306324,307892,309004,309358,309149,309371,309912,310185,310947,311942,313160,314327,315304,315692,315753,316065,317362,318489,319612,321272,322687,324280,325961,328085,330492,333788,337967,342548
"Milwaukee, WI",WI,39,394862,145670,146512,146456,147061,147193,147760,147821,148159,148800,149642,150573,151225,151726,152147,152915,153501,154211,154853,155329,156013,156776,157877,158682,159482,160212,160789,160950,161317,162006,163197,164274,165291,165961,166471,166974,167940,169370,170596,172009,172880,173826,174237,174956,175588,176453,177144,177895,178285,178439,179141,180084,181299,181915,182505,183146,183709,184245,184917,185843,186876,187973,188878,189687,190646,192094,193862,195594,197589,199713,202012
"Jacksonville, FL",FL,40,394714,171173,171512,172520,173409,174446,175471,176575,177713,178311,178957,179586,180812,181618,182457,182821,184066,185278,186416,187232,188105,189302,190345,191367,192384,193854,195769,197829,199125,200105,201078,202282,203777,205307,207044,208873,210730,212115,212900,213512,214675,216523,218389,220295,221435,222329,223061,224186,225050,225681,226186,226667,227536,228247,229490,230476,231276,231725,232180,232590,233384,234431,235804,237318,238450,239486,240165,241057,242506,244431,246484
"Memphis, TN",TN,41,394849,116262,116959,117780,118132,118664,119008,119198,119423,119611,120173,120598,120853,120997,121196,121480,121643,121656,121754,122244,122660,123329,123683,124445,125221,125727,126053,126645,127823,128916,129855,130626,131685,132296,133121,133644,134350,134882,135678,136400,137230,138192,139250,140285,140999,142077,142943,143789,144452,145686,146818,147903,148527,149443,150069,150759,151436,152272,153039,153889,154832,155661,156542,157522,158772,159845,161233,162716,164429,166035,167904
"Oklahoma City, OK",OK,42,394935,139751,140184,140674,141315,141663,141981,142191,142438,142574,142611,142736,142959,143382,143807,144248,144418,144647,144945,145409,145797,146149,146397,146700,146986,147241,147443,147609,148132,148651,149205,149523,149912,150350,150870,151336,151701,151962,152026,152190,152310,152606,152609,152714,152718,152960,153272,153705,154369,154832,155581,155905,156347,156704,157547,158520,159392,160067,160630,161216,161711,162490,163203,164263,165249,166271,167111,167906,168895,169993,171213
"Louisville-Jefferson County, KY",KY,43,394807,140408,140707,141323,141735,142261,142565,142756,143163,143558,143831,143937,144123,144622,145511,146370,147262,147911,148598,149145,149795,150604,151666,152782,153700,154212,154436,154868,155594,156581,157550,158749,159769,160613,161194,162047,162948,164130,165382,166477,167140,167631,168289,169020,169619,170086,170643,170927,171259,171544,172103,172810,173615,174717,175684,176378,176831,177528,178321,179277,180148,181159,182028,182894,183923,184844,185878,187137,188786,190439,192122
"Hartford, CT",CT,44,394669,220017,219932,219981,220191,220701,221450,221652,221637,221533,221748,221761,222136,222070,222385,222458,222309,222246,221882,222296,222586,222965,223176,223744,224174,225232,225854,226656,227347,227761,228233,228494,229269,229982,230524,230943,231170,231616,231941,232335,232647,233351,233958,234219,233981,233687,233481,233451,233779,233872,234362,234307,234726,234667,235276,235227,235247,235091,235349,235434,235645,236009,236379,237303,238163,239479,240565,242576,244933,247750,250566
"Richmond, VA",VA,45,395022,201753,202035,202470,203193,204053,204430,204638,204854,205385,205829,205895,206437,207115,207749,208123,208481,209255,210257,211485,212573,213629,214680,216051,217192,218061,218754,219687,220796,221892,222967,223671,224426,225236,226202,227078,227890,229018,230285,231602,232583,233238,233877,234701,235509,236267,237008,238270,239499,240760,241510,242238,243011,243821,244741,245685,246824,247739,248540,248961,249559,250101,251059,252022,253146,254454,255735,257034,258255,259754,261415
"New Orleans, LA",LA,46,394910,179989,180689,181285,182021,182311,182649,183018,183539,184198,185029,185420,185792,186120,186973,187485,187825,188275,189292,190302,191239,191869,192460,192978,192972,193117,192845,193532,194356,195386,195651,196015,196107,196625,196721,197325,198103,199051,199578,199116,198366,197632,197747,198070,198609,198612,199023,199151,198455,197677,197527,198794,199663,200734,201246,201893,202065,202666,203058,203560,204806,206129,207319,207803,208821,209748,210967,212096,213685,215260,217016
"Buffalo, NY",NY,47,394425,134242,134217,134303,134666,135298,135753,136336,136748,137361,137829,138219,138457,138719,139185,139692,139953,140176,140831,141417,141998,142230,142848,143467,144447,145317,146404,147393,148617,149866,150767,151555,152264,153218,154192,155279,156406,157229,157796,158272,158967,159543,160321,161314,162514,163553,164310,164589,164654,165203,166160,167697,168646,170117,171257,172174,172378,172248,172284,172742,173519,174284,174915,175312,176203,176935,178076,179504,181605,184225,187090
"Raleigh, NC",NC,48,395012,221206,221743,222690,223745,224860,225657,226274,227437,228780,230354,231043,231802,232479,233821,234043,234656,235309,237130,239087,240738,242023,242686,243729,245044,246737,248263,250352,252098,253493,254179,254667,255168,255965,257468,259070,260399,261386,262095,263062,264112,266098,267480,268892,270373,271831,272840,273556,274732,276466,278227,279208,279707,279919,280991,282083,282697,283034,283750,284676,285512,285955,286595,287696,289281,290775,292116,293555,295447,297636,299764
"Birmingham, AL",AL,49,394388,139393,139598,139981,140268,140487,140584,141060,141554,142269,142528,142378,142354,142635,143162,143742,144316,144733,145070,145051,145188,145312,145953,147142,147975,148599,148768,149252,149513,149882,150223,150788,151472,152069,152468,152535,153188,153865,154761,155096,155874,156760,157628,158522,159183,160167,160760,161480,161841,162361,163077,163675,164063,164537,165807,167345,168483,169009,169576,170422,171450,172523,173470,174812,176235,177611,178465,179156,180365,182033,184012
"Salt Lake City, UT",UT,50,395053,258681,260012,262116,264525,266710,268714,270421,272832,275408,277814,279315,280921,282456,283916,284694,285793,287635,289705,292085,293138,294993,296491,299553,302911,305948,308609,310979,313569,315723,318446,320607,323740,325808,328386,330120,331916,332921,335260,338516,342517,345903,348258,351141,353111,355365,357530,360223,363161,366394,369272,371069,372152,372691,374258,375786,377778,379767,380878,382115,382809,384567,386188,388535,391308,395250,399126,403230,407672,412636,418763
"Rochester, NY",NY,51,395031,130383,130131,129921,129938,130018,130446,131041,131875,132596,133036,133223,133296,133686,135452,137851,140020,141543,141825,141708,141659,142067,143155,143857,145073,145819,145329,143974,143100,143221,144172,144700,144568,144218,143728,143960,143990,144383,144673,145131,144992,144598,144474,145402,146791,148024,148842,149561,150314,151156,152053,152853,153663,154452,155337,155591,155929,156124,156639,157090,157494,157919,158640,159607,160886,162252,163385,164701,165997,167689,169546
"Grand Rapids, MI",MI,52,394640,154608,155651,157106,158606,159651,160624,161263,162234,162880,163756,164898,166441,167700,168447,168846,169401,170338,171553,173189,174823,176741,178222,179571,180553,181746,182984,184780,186827,188731,190023,190916,191995,193064,194365,195189,196282,197528,199498,200756,201716,203023,204962,206944,208693,209691,210896,211670,213276,214330,215273,216152,217185,219206,220952,222237,222059,222388,223210,224889,225935,227250,228365,229916,231588,232445,233465,235052,238053,241201,243990
"Tucson, AZ",AZ,53,395167,166802,166124,166675,167397,168018,168384,167838,167414,167278,167820,168101,168708,169534,170600,171332,171980,172859,173079,174277,175362,176443,177044,177948,179050,180152,181162,182169,182821,183599,184949,186136,187573,188758,190034,191043,192208,193168,194216,195453,196950,198470,199664,200682,201413,202543,203776,204730,204577,205555,206769,207948,208345,209361,210912,212420,213457,214374,215285,216512,218592,220074,221421,222831,224955,226675,228179,229968,232397,234934,237590
"Urban Honolulu, HI",HI,54,753924,601952,603555,605731,608493,613118,616453,619643,619619,619527,620623,622850,624029,625343,627453,630081,632192,633686,636229,638910,644041,649602,654787,657461,660822,663321,665741,667859,670419,675660,679881,683909,684451,686924,689613,694351,697896,701185,703986,706839,709388,709454,709432,709961,712989,713871,713702,712480,712192,711950,712469,713020,712076,710320,708786,709164,708936,707568,705853,704299,703283,702731,701879,701142,701744,703787,706076,706972,708037,710880,714829
"Tulsa, OK",OK,55,395169,126928,127261,127843,128008,128165,128412,128692,128986,129149,128965,128703,128566,128804,129409,129913,130651,131369,132106,132651,133053,133420,133934,134565,135264,135603,135819,136122,136597,137049,137257,137427,137714,138320,138804,139291,139880,140598,140971,141052,141145,141373,141660,142014,142458,142687,143056,143480,143962,144258,144519,144951,145227,145493,145837,146220,146565,146961,147601,148289,148792,149409,150283,151194,152212,153213,154214,155216,156243,157337,158258
"Fresno, CA",CA,56,394619,201011,201800,201875,202870,203557,205098,206516,207735,208880,209226,210307,211708,212976,213626,214444,215396,216425,217456,217996,219160,220721,223031,224801,226333,227258,229011,230999,232686,233367,234069,236187,238415,240034,241332,242418,244005,246245,248259,249170,250359,253310,256227,257667,257125,257025,257407,259056,260267,261095,261731,262746,263266,263479,264790,265654,266602,266359,267400,268086,269138,269960,271008,272432,274350,275999,276959,278887,281903,285990,289126
"Worcester, MA",MA,57,395238,239273,238231,236661,235955,236637,237652,238812,239864,241049,241705,241405,241200,241823,245300,248066,249920,249743,249991,250040,250196,251050,252991,255524,257696,258845,258201,258728,259995,262712,264668,266657,269008,271286,272754,273083,272839,274118,276808,278142,279122,279419,281456,283283,284328,284716,284088,284533,285797,286274,286012,285581,286694,288715,290996,292430,293195,293191,293822,294520,295447,296926,298763,301456,303373,305053,306215,308554,312163,317176,322843
