RegionName,StateName,SizeRank,RegionID,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020
"New Castle, IN",IN,596,394906,77443,77570,77704,77817,77973,78095,78223,78255,78307,78341,78492,78584,78625,78640,78720,78916,79084,79281,79395,79559,79686,79927,80099,80353,80664,81040,81378,81634,81948,82280,82704,83155,83650,84082,84514,84905,85332,85830,86302,86755,87185,87638,88090,88505,88889,89287,89731,90205,90660,91149,91679,92243,92794,93319,93773,94131,94435,94710,94915,95162,95415,95591,95763,95944,96144,96354,96603,96938,97321,97733
"Sidney, OH",OH,597,395097,112380,112683,113044,113406,113792,114141,114487,114879,115231,115618,115981,116300,116624,116982,117436,117923,118383,118884,119343,119794,120264,120753,121276,121843,122426,123070,123588,124088,124565,125012,125530,126094,126756,127395,128062,128760,129511,130274,131029,131734,132314,132870,133425,133998,134523,134978,135593,136284,137047,137781,138584,139375,139946,140482,140987,141726,142384,143060,143457,143798,144082,144363,144611,144886,145389,145914,146423,146704,147023,147347
"Cortland, NY",NY,598,394504,102640,103103,103602,104003,104425,104809,105266,105694,106197,106706,107296,107879,108439,108993,109568,110094,110623,111207,111811,112404,112918,113433,113897,114384,114900,115468,116001,116646,117289,117992,118607,119222,119825,120331,120854,121338,121886,122442,123040,123695,124356,124886,125339,125808,126299,126818,127095,127385,127630,128210,128741,129067,129301,129581,130074,130629,131142,131575,131944,132370,132860,133038,133210,133457,133747,134024,134159,134202,134227,134274
"Clinton, IA",IA,599,394477,113211,114194,115136,116267,116653,117164,117661,118154,118617,119093,119563,119967,120305,120339,120360,120431,120813,121235,121666,122132,122563,123154,123747,124369,124707,124920,125083,125389,125817,126212,126584,126853,127215,127291,127485,127657,128313,128834,129514,130136,130670,131007,131080,131372,131659,132086,132381,132718,132956,133338,133589,134181,134476,134755,134751,135063,135608,136351,136985,137489,137742,137934,138084,137876,137804,137744,137931,137673,137099,136234
"Del Rio, TX",TX,600,394527,105061,105687,106268,106879,107449,107920,108419,108902,109361,109684,110031,110195,110541,110988,111578,112131,112619,113239,113808,114424,114838,115439,116001,116752,117342,117761,118122,118468,118825,119088,119377,119695,120080,120286,120557,120911,121306,121701,122020,122407,122788,123183,123490,123770,124026,124323,124645,124999,125452,126088,126731,127426,128039,128583,129044,129445,129822,130316,130717,131067,131256,131310,131379,131349,131348,131365,131435,131500,131526,131413
"Clovis, NM",NM,601,394478,129229,129293,129320,129430,129561,129648,129660,129609,129666,129855,130331,130451,130562,130407,130645,130889,131081,131345,131608,132086,132438,132715,132397,132539,132758,133512,133841,133916,134079,134242,134755,135027,135302,135340,135786,136429,136958,137164,137125,137535,137898,138319,138353,138531,138643,138941,139241,139406,139704,140049,140700,141295,141950,142436,142995,143421,143934,144540,145107,145806,146347,146962,147497,147955,148397,148957,149591,150299,150974,151535
"Norfolk, NE",NE,602,394919,114238,114808,115404,116027,116664,117258,117831,118283,118695,119116,119617,120187,120804,121422,121981,122506,123020,123650,124395,125253,126127,127099,128095,129126,130010,130871,131684,132532,133367,134183,134982,135801,136620,137346,138179,139016,140054,140956,141929,142814,143817,144737,145500,146156,146849,147578,148560,149563,150601,151330,151952,152666,153486,154259,154979,155683,156397,157017,157188,157286,157341,157672,158022,158299,158385,158493,158660,158826,158909,159008
"Washington, NC",NC,603,395208,119312,119585,120050,120494,120968,121394,121857,122351,122756,123006,123265,123471,124032,124543,125130,125449,125870,126243,126668,126919,127205,127650,128035,128546,128940,129485,130048,130580,131056,131259,131479,131766,132277,132799,133437,134084,134488,134806,134880,135246,135554,136287,136810,137489,138021,138439,138971,139388,140135,140466,140830,141097,141582,141955,142281,142691,143112,143544,143595,143672,143765,144179,144675,145107,145404,145628,145984,146189,146417,146692
"Corsicana, TX",TX,604,394503,88025,88406,88762,89150,89557,89980,90445,90895,91267,91588,91880,92228,92627,93025,93471,93877,94335,94771,95215,95714,96177,96689,97084,97614,98211,98806,99309,99783,100176,100584,100910,101093,101320,101553,102019,102458,102833,103296,103792,104341,104833,105218,105605,105970,106381,106768,107161,107468,107802,108260,108777,109357,109812,110321,110771,111298,111744,112145,112394,112674,112964,113087,113142,113105,113181,113231,113302,113307,113291,113267
"Freeport, IL",IL,605,394616,85097,84767,84518,84208,83945,83449,83032,82780,82574,82408,82261,82175,82287,82490,82704,83004,83223,83392,83111,82665,82116,81780,81541,81397,81373,81254,81131,80920,80948,81350,81838,82325,82718,83194,83480,83514,83267,83205,83332,83681,83993,84208,84479,84786,85086,85061,85203,85454,85988,86236,86536,86748,87130,87356,87575,87722,87933,88240,88451,88692,88889,89235,89455,89659,89716,89877,90018,90210,90384,90624
"Starkville, MS",MS,606,395124,153301,154003,154683,155194,155470,155589,155867,156168,156610,156998,157123,156881,156581,156686,157017,157613,158270,159033,159527,160133,160522,160873,161273,161879,163077,164287,165244,165489,165526,165630,165662,165715,166065,166912,167689,168226,167473,166370,165453,165494,166181,166597,167260,167683,167920,168593,168740,169147,168957,169564,170169,170895,171117,171449,171791,172581,173422,172222,170907,169246,169669,169680,169739,169536,169596,169846,170162,170436,170907,172784
"Burlington, IA",IA,607,394427,84781,85031,85267,85473,85725,86026,86327,86563,86518,86490,86522,86805,87110,87405,87705,87967,88192,88448,88704,89051,89479,89943,90358,90693,91048,91381,91706,92005,92312,92638,92942,93271,93508,93755,94007,94331,94648,94956,95312,95652,95965,96167,96308,96255,96268,96253,96458,96580,96893,97212,97545,97754,98001,98257,98522,98858,99193,99477,99525,99586,99556,99520,99442,99467,99465,99488,99514,99547,99541,99562
"Cadillac, MI",MI,608,394431,92296,92543,92768,92768,92831,92619,92695,92862,93392,93786,93894,94117,94212,94547,94823,95328,95755,96330,96837,97388,97876,98344,98954,99498,100102,100640,101164,101583,102006,102466,102992,103426,103901,104456,105116,105798,106522,107463,108463,109789,111020,112208,113021,113790,114432,115063,115764,116515,117402,118521,119764,120548,121123,121494,122127,122549,123032,123396,123589,123681,123707,123422,123007,122788,122774,122892,122954,123168,123345,123553
"Ardmore, OK",OK,609,394336,77046,77422,77970,78563,79076,79452,79784,80143,80507,80702,81141,81537,82001,82185,82249,82468,82604,82854,83040,83211,83376,83637,83311,83056,82960,83890,84731,85250,85509,85847,86292,86766,87093,87465,87742,88014,88207,87371,86674,86060,86430,86716,86927,87125,87398,87600,87763,87955,88111,88803,89448,90251,90700,91253,91733,92197,92546,92850,93280,93728,94332,94835,95361,95827,96199,96563,97057,97618,98312,99115
"Kendallville, IN",IN,610,394739,107709,107798,107146,106749,106276,106539,106932,107410,107846,107914,107981,108075,109037,109946,111196,111875,112654,113101,113404,113651,113893,114349,114734,115204,115412,115768,116253,116931,117600,118135,118681,119205,119899,120748,121725,122639,123200,123773,124306,125113,125854,126658,127411,128212,128896,129481,130156,130858,131754,132571,133403,134196,135053,135905,136750,137503,138141,138704,139072,139480,139978,140488,140956,141283,141584,141889,142211,142570,143022,143517
"Nogales, AZ",AZ,611,394918,125181,125906,126571,127312,128081,128906,129649,130495,131180,131910,132515,133330,133971,134576,135093,135746,136421,137091,137792,138488,139332,140172,141034,141773,142553,143298,144057,144648,145272,145908,146689,147422,148083,148657,149290,149954,150655,151358,152133,152953,153627,154168,154671,155217,155755,156262,156962,157782,158600,159190,159749,160346,160871,161516,162044,162824,163604,164520,165253,165839,166421,167203,167975,168729,169607,170457,171384,172105,172847,173527
"Oxford, MS",MS,612,394951,170034,170789,171267,171565,171937,172421,172909,173157,173641,174128,174729,175151,175664,176199,176806,177497,178240,178906,179497,180156,180737,181246,181652,182308,182567,182842,183032,183437,183768,184194,184730,185424,186014,186632,187236,187797,188625,189465,190316,191158,192119,193141,193996,194656,195306,195981,196669,197199,197862,198875,200091,201208,201906,202322,202840,203596,204587,205412,206106,206885,207495,207777,207860,207923,208210,208601,208900,208990,208835,208692
"Bogalusa, LA",LA,613,394398,85811,86218,86659,87045,87144,87369,87457,87525,87347,87405,87722,88105,88455,87772,87119,86420,86502,86388,86269,86286,86562,86744,87108,87370,87783,88185,88752,89289,89652,89892,89976,90066,90061,90083,89354,88689,88062,88282,88385,88525,88553,88584,88746,88845,88988,89118,89801,90530,91066,91104,91152,91307,91480,91687,91883,92133,92388,92751,92957,93171,93449,93746,94069,94302,94597,94898,95178,95449,95710,95896
"Plymouth, IN",IN,614,394987,125958,126368,126732,127145,127453,127834,128055,128292,128454,128667,128905,129176,129453,129739,130002,130282,130622,130941,131177,131326,131492,131922,132386,132863,133268,133716,134237,134708,135173,135622,136098,136689,137385,137989,138582,139157,139747,140333,140891,141629,142366,143154,143969,144750,145336,145555,145777,146111,146757,147450,148150,148794,149515,150175,150776,151240,151726,152265,152714,153100,153408,153665,153923,154160,154354,154583,154838,155190,155588,156133
"Gardnerville Ranchos, NV",NV,615,394628,312145,314725,317208,321388,325915,330812,334434,336696,337982,338363,339190,340812,342668,344523,346889,349012,351002,352711,354245,357519,361070,365384,369475,372631,376075,378813,381242,382392,383166,383873,385661,387430,390555,393687,396890,399083,402331,407551,412626,418404,423968,430684,435699,439870,442762,446845,450492,455598,458083,458917,460642,460495,462917,463028,465444,466312,467713,467423,466996,465920,467200,468943,470292,473258,474710,477629,479746,483796,488150,493632
"Tahlequah, OK",OK,616,395144,100112,100329,100526,100672,100874,101189,101464,101620,101653,100575,99798,99104,99532,99743,99841,99988,100047,99993,99905,99874,99993,100490,100413,100440,100235,100658,101052,101258,101488,101746,102103,102362,102571,102996,103396,103926,103837,103814,103768,104255,104769,105153,105424,105781,106073,106445,106581,106233,105890,105827,106315,107075,107920,108730,109181,109447,109626,109721,110116,111038,112155,112915,113288,113245,113155,113190,113588,114136,114804,115430
"Madisonville, KY",KY,617,394817,73572,73729,73863,74073,74272,74485,74633,74805,75000,75230,75585,76067,76543,76943,77176,77399,77641,77914,78213,78475,78731,79008,79397,79767,80121,80359,80682,81004,81371,81645,81949,82242,82585,82915,83457,83694,83924,83925,84211,84481,84731,85084,85370,85604,85669,85753,85615,85675,85801,86275,86578,86956,87398,88000,88535,88848,89006,89125,89379,89643,89840,89877,89875,89807,89670,89354,89084,88974,89011,89024
"Cañon City, CO",CO,618,394437,174094,174891,175647,177104,178622,180198,181709,183180,184584,185970,187044,187919,188991,190127,191417,192646,193844,195005,196053,197281,198409,199660,200892,202249,203302,204444,205431,206581,207541,208433,209606,210576,211865,212910,214552,216363,218106,219475,220832,222229,223358,223800,224592,224828,225202,225299,227422,230149,232461,233121,233377,233916,235501,238101,238573,240356,241254,243340,242288,240499,239659,240081,240750,241135,240795,239879,240157,239617,239559,238737
"Ruston, LA",LA,619,395043,128944,129507,130072,130546,131005,131355,131846,132334,132831,133337,133794,134442,135099,135899,136111,136293,136360,136884,137274,137529,137768,138003,138350,138453,138609,138541,139168,139833,140715,141171,141617,142216,142783,143249,143793,144155,144451,144554,144760,144986,145266,145546,145948,146324,146734,147164,147782,148676,149562,150188,150737,151337,152163,152784,153345,153802,154256,154723,154808,154858,154924,155297,155516,155642,155484,155516,155493,155490,155432,155327
"Hillsdale, MI",MI,620,753889,102420,102757,103078,103471,103751,104082,104490,105013,105614,106148,106712,107154,107673,108119,108583,108996,109380,109823,110330,110867,111404,111946,112570,113255,113928,114567,115218,115906,116626,117239,117835,118454,119098,119623,120086,120645,121389,122232,123015,123701,124368,125094,125566,125927,126160,126516,127090,127669,128330,128925,129573,130327,131100,131919,132708,133228,133611,134201,134719,135272,135506,135738,135948,136105,136227,136271,136425,136792,137271,137501
"Lewistown, PA",PA,621,394789,84311,84056,83762,83763,83868,84036,84120,84211,84235,84479,84711,85113,85961,86920,87752,88150,88481,88814,89142,89514,89886,90175,90407,90635,90755,90946,91165,91485,91763,92063,92406,92792,93138,93510,93917,94313,94687,94991,95372,95787,96251,96625,97033,97325,97726,98005,98448,98834,99284,99685,100093,100597,101004,101485,101900,102449,102932,103308,103496,103675,103915,104185,104385,104463,104582,104656,104728,104710,104663,104718
"Rockingham, NC",NC,622,395034,53797,53946,54147,54321,54515,54638,54813,54943,55100,55233,55425,55619,55829,56031,56256,56496,56773,57047,57307,57715,58190,58673,58984,59274,59570,59898,60171,60437,60671,60960,61304,61595,61818,62024,62325,62691,63105,63506,63901,64278,64590,64932,65228,65511,65759,66053,66460,66805,67088,67229,67357,67519,67780,68026,68197,68327,68494,68668,68769,68881,68966,69151,69348,69517,69633,69718,69859,70033,70196,70325
"Ponca City, OK",OK,623,394990,57161,57174,57134,57266,57396,57529,57694,57814,57901,57743,57693,57646,57938,58172,58419,58551,58612,58661,58685,58784,58942,59191,59169,59120,58873,58896,58912,59020,59124,59207,59306,59321,59349,59476,59655,59870,60070,60168,60307,60408,60656,60944,61246,61590,61884,62118,62165,62197,62288,62669,63010,63368,63608,63878,64133,64401,64672,64878,65230,65595,66015,66217,66446,66686,66970,67239,67533,67830,68162,68564
"Blytheville, AR",AR,624,394397,23855,23803,23835,23683,23646,23603,23677,23677,23697,23514,23372,23303,23430,23523,23601,23696,23757,23854,23806,23885,23893,24054,24167,24298,24316,24389,24454,24615,24811,25007,25275,25474,25697,25843,25921,25956,25918,26055,26168,26369,26480,26735,26956,27202,27437,27648,27693,27696,27735,27884,28115,28227,28414,28532,28652,28784,28836,28909,29058,29255,29557,29664,29719,29801,29874,29935,30009,30079,30216,30359
