State,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/20/2020
Georgia,6.4,6.3,6.3,6.2,6.1,6,5.9,5.9,5.8,5.7,5.6,5.6,5.5,5.5,5.4,5.4,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.3,5.2,5.1,5,4.9,4.8,4.7,4.6,4.5,4.5,4.4,4.3,4.3,4.2,4.2,4.1,4.1,4,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.4,3.3,3.2,3.2,3.1,3.1,3.1,3.1,4.6,12.6,9.4,7.6,7.6,5.7,6.4
Hawaii,4,3.9,3.9,3.8,3.7,3.6,3.5,3.4,3.4,3.3,3.2,3.1,3.1,3,3,3,3,3,3,2.9,2.9,2.9,2.8,2.8,2.7,2.7,2.6,2.6,2.5,2.4,2.4,2.3,2.3,2.2,2.2,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.5,2.6,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.7,2.7,2.7,2.4,23.8,23.5,13.4,13.5,13,15.1
Idaho,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4,4,4,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.7,3.7,3.6,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3,3,3,3,2.9,2.9,2.9,2.9,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.7,2.5,11.8,9,5.8,5.1,4.2,6.1
Illinois,6,6,6,6,6,5.9,5.9,5.9,5.9,5.9,6,6,6.1,6.1,6.1,6,5.9,5.9,5.8,5.7,5.7,5.6,5.5,5.4,5.3,5.1,5,5,4.9,4.9,5,4.9,4.9,4.8,4.7,4.6,4.5,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.2,4.3,4.3,4.4,4.4,4.3,4.3,4.2,4.1,4,3.9,3.8,3.7,3.7,3.7,3.7,3.5,3.4,4.2,17.2,15.3,14.5,11.5,11,10.2
Indiana,5.4,5.3,5.1,5,4.9,4.8,4.7,4.6,4.5,4.5,4.6,4.6,4.7,4.7,4.7,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.1,4,3.9,3.7,3.6,3.5,3.5,3.5,3.6,3.6,3.6,3.5,3.4,3.3,3.3,3.3,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3,17.5,12.3,11.1,7.9,6.4,6.2
Iowa,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.6,3.6,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.5,2.5,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,3.3,11,10.2,8.4,6.8,6.3,4.7
Kansas,4.3,4.4,4.4,4.4,4.3,4.2,4.1,4.1,4,4,4,4,3.9,3.9,4,4,4,4.1,4.1,4.1,4.1,4.1,4,4,3.9,3.8,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,2.8,11.9,10,7.5,7.2,6.9,5.9
Kentucky,5.4,5.4,5.3,5.3,5.3,5.2,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.2,5.2,5.1,5,5,5,5.1,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.1,5.1,5,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.2,5.2,16.6,10.9,4.4,4.5,7.5,5.6
Louisiana,6.9,6.8,6.7,6.5,6.4,6.2,6.1,6.1,6,6,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6,6,5.9,5.8,5.7,5.5,5.4,5.3,5.1,5,4.9,4.8,4.7,4.6,4.6,4.7,4.8,4.9,5,5,5,5,4.9,4.9,4.8,4.8,4.7,4.7,4.6,4.5,4.5,4.5,4.6,4.7,4.9,5.1,5.2,5.2,5.2,5.3,5.2,6.7,15.1,14.2,9.5,9.4,7.7,8.1
Maine,5,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,4,4,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3,2.9,2.9,2.9,2.9,3,3,3,3.1,3.2,3,10.4,9.4,6.7,9.9,7,6.1
