State,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/20/2020
Maryland,5.4,5.4,5.3,5.3,5.2,5.1,5,5,4.9,4.8,4.7,4.7,4.6,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4,4,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.5,3.4,3.4,3.4,3.3,3.3,3.3,10.1,10,8.3,7.8,7,7.2
Massachusetts,5.1,5.1,5,4.9,4.9,4.8,4.8,4.7,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3,3,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,16.2,16.6,17.7,16.2,11.4,9.6
Michigan,6,5.9,5.8,5.7,5.6,5.5,5.3,5.2,5.1,5,4.9,4.9,4.9,4.9,4.9,4.9,5,5,5,5,5.1,5.1,5.1,5,4.9,4.7,4.6,4.5,4.4,4.5,4.5,4.6,4.7,4.7,4.6,4.6,4.5,4.4,4.4,4.3,4.2,4.1,4,3.9,3.9,4,4,4.1,4.2,4.2,4.3,4.3,4.2,4.2,4.1,4,3.9,3.9,3.9,3.9,3.8,3.6,4.3,24,21.3,14.9,8.7,8.7,8.5
Minnesota,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.8,3.8,3.9,3.9,4,4,4,4,3.9,3.8,3.7,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.1,3.1,3,3,3,3,2.9,2.9,2.8,2.8,2.9,2.9,3,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.2,3.1,2.9,8.7,9.9,8.6,7.6,7.4,6
Mississippi,6.7,6.6,6.6,6.5,6.4,6.3,6.3,6.2,6.2,6.2,6.2,6.2,6.1,6,6,5.9,5.9,5.9,5.8,5.8,5.7,5.6,5.5,5.5,5.4,5.3,5.2,5.2,5.2,5.1,5.1,5,5,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.8,4.7,4.7,4.8,4.9,5,5.1,5.1,5.2,5.3,5.3,5.4,5.4,5.5,5.5,5.6,5.6,5.6,5.6,5.5,5.4,5.1,16.3,10.5,8.8,9.4,7.8,7.1
Missouri,5.5,5.5,5.5,5.4,5.3,5.1,4.9,4.8,4.6,4.5,4.5,4.4,4.4,4.4,4.4,4.5,4.6,4.7,4.8,4.8,4.8,4.7,4.5,4.3,4.1,4,3.9,3.8,3.8,3.7,3.7,3.6,3.6,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.1,3,3,3,3,3.1,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.2,3.2,3.3,3.4,3.4,3.4,3.5,3.5,3.9,10.2,10.1,7.8,6.9,7,4.9
Montana,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4,4,4,4,4,4,4,4,4,4,4,3.9,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.6,11.9,9,7.2,6.5,5.8,5.3
Nebraska,2.9,2.9,2.9,3,3,3,3.1,3.1,3.1,3.1,3,3,3,3,3,3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3,3,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3,3,3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3,3,3,3,2.9,2.9,4,8.7,5.3,5.5,4.9,4,3.5
Nevada,7.2,7.1,7,6.9,6.9,6.8,6.7,6.7,6.6,6.5,6.4,6.3,6.2,6.1,6,5.9,5.8,5.7,5.6,5.6,5.5,5.4,5.4,5.3,5.2,5.2,5.2,5.1,5.1,5,5,4.9,4.9,4.9,4.8,4.8,4.7,4.7,4.6,4.6,4.5,4.4,4.4,4.4,4.3,4.3,4.3,4.2,4.2,4.1,4.1,4,4,3.9,3.9,3.8,3.7,3.7,3.7,3.7,3.6,3.6,6.9,30.1,25.3,15.2,14.2,13.3,12.6
New Hampshire,3.8,3.7,3.7,3.6,3.5,3.4,3.3,3.2,3.2,3.1,3,3,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.4,17.1,15.4,9.2,8,6.6,6
New Jersey,6.5,6.4,6.3,6.2,6.1,5.9,5.7,5.5,5.3,5.2,5.1,5,5,5,5.1,5.1,5.1,5.1,5.1,5,4.9,4.9,4.8,4.7,4.6,4.6,4.5,4.5,4.6,4.6,4.7,4.7,4.7,4.7,4.7,4.6,4.5,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.8,3.8,3.8,3.7,3.6,3.5,3.4,3.3,3.3,3.3,3.5,3.6,3.7,3.7,3.7,3.8,3.8,3.7,16.3,15.4,16.8,14.2,11.1,6.7
New Mexico,6.4,6.5,6.5,6.6,6.6,6.5,6.5,6.5,6.4,6.5,6.5,6.5,6.5,6.5,6.6,6.6,6.7,6.7,6.7,6.7,6.6,6.6,6.5,6.4,6.4,6.3,6.2,6.1,6,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.2,5.1,5,4.9,4.8,4.8,4.8,4.8,4.8,4.9,4.9,4.9,5,5,5,5,4.9,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,6.3,11.9,9.1,8.4,12.7,11.4,9.4
New York,5.7,5.7,5.6,5.5,5.4,5.3,5.2,5,5,4.9,4.9,4.9,4.9,4.8,4.8,4.8,4.8,4.9,4.9,4.9,5,4.9,4.9,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.8,4.7,4.7,4.6,4.6,4.5,4.5,4.4,4.3,4.2,4.1,4,3.9,3.9,3.9,4,4,4,4,4,4,4,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.7,4.1,15.3,14.5,15.6,15.9,12.5,9.7
North Carolina,5.7,5.8,5.8,5.9,5.9,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.3,5.2,5.1,5.1,5,5,5,5,5.1,5.1,5.1,5,4.9,4.8,4.6,4.5,4.5,4.4,4.4,4.4,4.3,4.3,4.3,4.2,4.2,4.1,4.1,4,4,3.9,3.9,3.9,3.9,3.9,3.9,4,4,4.1,4.1,4.1,4,4,3.9,3.8,3.7,3.7,3.6,3.6,3.6,3.6,4.3,12.9,12.8,7.5,8.5,6.5,7.3
North Dakota,2.6,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,3,3.1,3.2,3.3,3.3,3.2,3.2,3.1,3,3,2.9,2.9,2.9,2.8,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.4,2.4,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.2,2,9.1,9.1,7.4,6.6,5,4.4
Ohio,5.1,5.1,5.1,5.1,5,4.9,4.8,4.7,4.7,4.7,4.8,4.9,5,5,5,5,5,5,5,5,5.1,5.2,5.2,5.2,5.2,5.2,5.1,5.1,5.1,5,5,5,4.9,4.8,4.6,4.5,4.5,4.5,4.5,4.6,4.6,4.5,4.5,4.4,4.4,4.4,4.4,4.3,4.3,4.2,4.1,4.1,4.1,4.1,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.1,5.8,17.6,13.9,11,9,8.9,8.4
Oklahoma,4.2,4.2,4.3,4.4,4.4,4.5,4.5,4.4,4.4,4.5,4.5,4.5,4.6,4.7,4.7,4.8,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.2,4.1,4.1,4,4,3.9,3.9,3.8,3.7,3.6,3.5,3.4,3.3,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.4,3.4,3.4,3.3,3.2,2.9,14.7,12.6,6.4,7.1,5.7,5.3
Oregon,6,5.9,5.8,5.8,5.7,5.7,5.6,5.5,5.4,5.3,5.2,5.1,5.1,5,5,5,5,5,4.9,4.8,4.7,4.6,4.4,4.3,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4,4,3.9,3.9,4,4,4.1,4.2,4.2,4.2,4.2,4.1,4,3.9,3.8,3.7,3.6,3.5,3.4,3.4,3.4,3.3,3.3,3.5,14.9,14.3,11.6,10.4,8.5,8
Pennsylvania,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.2,5.2,5.1,5.1,5.2,5.2,5.3,5.4,5.4,5.4,5.5,5.5,5.5,5.4,5.4,5.3,5.2,5.2,5.1,5,5,4.9,4.8,4.8,4.8,4.7,4.7,4.7,4.6,4.6,4.5,4.4,4.3,4.3,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.3,4.4,4.5,4.6,4.6,4.6,4.6,4.7,4.7,5.8,16.1,13.4,13.2,12.5,10.4,8.1
Rhode Island,6.6,6.5,6.4,6.3,6.2,6,5.9,5.8,5.7,5.6,5.5,5.5,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.2,5.1,4.9,4.8,4.7,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.2,4.1,4,3.9,3.9,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.4,3.4,4.7,18.1,16.4,12.6,11.3,12.9,10.5
South Carolina,6.5,6.4,6.4,6.3,6.2,6,5.9,5.8,5.6,5.6,5.5,5.5,5.4,5.4,5.3,5.2,5.2,5.1,5,4.9,4.8,4.7,4.7,4.6,4.5,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.1,4,3.9,3.8,3.6,3.5,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.3,3.1,2.9,2.7,2.5,2.4,2.4,2.4,2.4,2.4,2.5,3.2,12.8,12.4,8.7,8.7,6.4,5.1
South Dakota,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3,2.9,2.9,2.9,2.9,2.8,2.9,2.9,2.9,3,3,3,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3,3,3,3,3,3.1,3.1,3.1,3.2,3.2,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.3,3.1,10.9,9.4,7.2,6.4,4.8,4.1
Tennessee,6.2,6.1,6,5.9,5.8,5.7,5.6,5.5,5.3,5.2,5,4.9,4.8,4.7,4.7,4.7,4.7,4.7,4.8,4.8,4.8,4.8,4.7,4.6,4.5,4.3,4.1,3.9,3.8,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.4,3.3,15.5,11,9.6,9.7,8.6,6.3
Texas,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.5,4.4,4.4,4.4,4.4,4.5,4.6,4.7,4.7,4.7,4.8,4.8,4.8,4.8,4.7,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.1,4.1,4,4,4,4,4,4,3.9,3.9,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.5,3.5,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,5.1,13.5,13,8.4,8,6.8,8.3
Utah,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3,3,3,3,2.9,2.9,2.8,2.8,2.7,2.7,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.5,2.5,3.8,10.4,8.6,5.3,4.5,4.1,5
Vermont,3.8,3.7,3.7,3.6,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3,3,3,2.9,2.9,2.9,2.8,2.8,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,3.1,16.5,12.8,9.5,8.3,4.8,4.2
