RegionID,RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08
33645,Rialto,CA,Riverside,San Bernardino,354,159200,160900,162200,164300,165900,167100,168100,168500,168400,168400,168800,169600,170300,170800,170600,169600,168700,168300,167600,167300,167800,168300,168600,168800,169300,170300,171600,172000,172900,174700,176700,178000,179400,180800,182900,185200,187200,190100,196200,204600,211400,216000,220200,225300,230500,235400,239600,243100,245900,247800,248700,250200,253300,256100,257800,259400,261400,263800,266000,266900,267300,269100,271700,273100,273900,275200,276600,277900,279800,283000,285600,287000,289200,292500,295200,297400,299600,301000,302600,304600
45878,Indio,CA,Riverside,Riverside,355,192100,192300,193800,194000,193900,191700,187900,184500,182400,180500,179100,178600,178300,177400,176000,174600,172400,169300,166600,164900,163500,162600,162200,163300,165100,166400,167100,167800,168300,169800,171600,172800,174300,176300,178400,181000,183600,186800,190800,195600,200600,206100,210700,215200,220300,225300,228900,231600,233600,234100,234300,236100,238600,240800,242500,244500,246500,247500,247400,247400,248000,248800,249800,250200,251100,253100,255100,256300,257500,258900,259800,260200,260200,260100,259900,259600,259000,259500,261100,262500
26964,Santa Monica,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,367,850500,839900,836500,831700,826800,822200,816600,813700,812100,810600,811700,816700,822100,822000,817200,811200,805900,802300,801200,799500,798300,799600,801800,803800,806700,809000,815400,825000,835100,844000,854800,862400,870000,878300,891900,906100,919600,930500,942400,954800,967700,982300,996900,1005500,1007600,1010400,1015800,1027000,1041800,1056200,1070800,1078000,1074800,1071600,1078600,1088800,1093700,1096100,1105400,1120900,1134000,1150400,1170600,1190200,1206500,1223100,1237700,1248500,1259300,1270100,1276600,1282000,1293100,1306100,1316000,1330500,1348300,1356500,1352900,1348300
32540,Livermore,CA,San Francisco,Alameda,378,431700,430500,427600,427700,430000,431300,429600,425600,421900,420700,421300,417400,412000,408900,406800,401800,397100,394800,394400,393500,391900,390000,390400,393400,394800,393600,393900,396900,400500,404700,410100,417000,425800,434600,442400,448400,453500,459700,471600,487500,502600,515200,525800,532700,536900,541100,546400,552800,560200,566700,572600,578900,585300,591100,597400,605900,614400,620400,623800,627800,633700,641700,649000,653800,658000,662600,665600,667700,670800,673900,676800,680200,684000,688000,690800,690700,689700,689500,690300,691500
51414,Citrus Heights,CA,Sacramento,Sacramento,411,192700,193700,193700,193200,192000,190600,189400,187100,184100,181800,179700,176900,173300,169600,166600,164200,162400,161000,159700,159000,158600,158200,158100,158300,158200,158200,158400,159000,159500,160000,160900,163200,166300,169200,172100,175600,179300,183500,188500,193800,198900,204800,211600,217600,221900,224500,226300,227700,228400,228700,229400,231000,234000,236200,236900,237800,239400,240700,241700,241800,241800,243200,245200,246000,246900,248800,251100,253000,254900,257200,259100,260600,262200,263300,264600,266100,268300,270900,273800,275900
10608,Buena Park,CA,Los Angeles-Long Beach-Anaheim,Orange,412,375800,377700,378600,379600,379400,378600,376800,374000,371200,369600,369200,368800,367000,363900,360900,359600,358600,356500,354100,351700,349700,348600,347400,345600,344800,344700,345200,346500,348700,350500,352700,355900,359400,362000,364600,368700,373900,379700,387700,397300,405500,411300,417100,423900,430500,435500,439400,442000,443400,446200,450800,454800,458300,461400,463800,465900,467500,468200,469000,471400,474700,478700,482300,484200,485900,488600,491800,493900,495400,498000,501400,503900,506300,509100,511200,512500,513600,515600,517600,519000
26751,Richmond,CA,San Francisco,Contra Costa,418,212600,208200,207200,206500,206200,206600,205900,203600,200800,198000,195800,194500,192400,189300,186800,183600,180100,177300,175100,173600,172700,172100,172400,172200,171300,172100,174300,176600,178800,181000,183400,185900,188900,192800,195900,198300,201900,207400,213700,220400,226900,233200,239400,246000,252300,259000,265700,272600,278000,280800,283200,289400,297800,304900,309600,312900,315000,318100,322400,326500,329500,333000,337700,342900,346600,349300,353400,358500,363700,369100,375000,380500,385400,388600,392000,395500,398600,400900,404000,406800
42150,Hawthorne,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,419,360500,363200,362900,362000,360300,359400,359200,359900,359900,358600,358200,358100,356700,355600,355900,355300,353900,352900,351500,349100,346400,344600,342800,341300,340700,339800,338600,339200,342000,344700,347200,349600,352000,354300,357800,361000,364200,369200,376600,384200,391000,395700,398900,402100,405800,409500,412500,415200,418600,422300,426200,430900,435500,439300,444100,449800,454700,459000,464000,468500,472000,474700,477400,479000,481300,485700,491600,496600,499900,502300,505000,506600,507100,508100,511100,514900,517800,519800,521000,521300
44583,Chino,CA,Riverside,San Bernardino,422,294600,295200,297300,299600,300500,299700,298800,298500,298700,298000,297000,296800,297200,295700,292800,289900,287900,285800,282900,280700,279700,278900,278800,278900,279300,280600,281900,281800,282300,285100,288300,290400,291900,295100,299400,303400,305200,306500,311400,321200,331400,340000,349200,358900,367200,372800,377600,381700,384200,386700,389500,391000,392000,393200,394200,395900,399400,403100,405700,408200,411400,414100,415300,415200,415400,415700,415200,414500,414500,415000,415600,417200,420000,422700,424800,426900,429100,431800,434500,436600
13712,Santa Barbara,CA,Santa Maria-Santa Barbara,Santa Barbara,428,834600,813900,806500,801100,798100,793200,788200,785200,786400,788400,788300,785300,782500,778800,773000,766800,758500,748400,744000,741600,734100,723500,716300,711400,708300,707200,707400,706300,704700,704800,708400,714000,718200,722600,729400,737200,742200,747800,755300,766200,778900,790800,800700,816100,834000,848700,861400,875100,886700,897800,909500,917400,921700,927900,934900,940200,945700,953100,960000,967100,975300,983500,987900,989100,989200,990100,989700,994700,1006300,1017100,1021100,1024000,1027600,1033100,1039900,1047200,1054000,1060800,1069400,1077600
